================================================================================
LiH SO(4) CG Cross-Center V_ee Diagnostic (v0.9.27)
nmax=3, Z_A=3, Z_B=1, N_e=4
================================================================================

Atomic energies (nmax=3):
  E(Li) = -7.392086 Ha
  E(H)  = -0.500000 Ha
  E(Li+H) = -7.892086 Ha

================================================================================
Cross-center ERI table at R=3.015
J(A_{n_a l_a m_a}, B_{n_b l_b m_b}) = sum D^(n_b) * F0_Sturmian
================================================================================

Reference (no cross-center V_ee): p0*=3.1684, E=-5.019429 Ha

gamma(R=3.015, p0=3.1684) = 0.208603 rad (11.95 deg)

  A (n,l,m)     B (n,l,m)          J_cross        D_elem
  (3,1,+0)      (1,0,+0)          0.344805      1.000000
  (3,1,+0)      (2,0,+0)          0.191838      0.978321
  (3,1,+0)      (2,1,-1)          0.332965      0.989161
  (3,1,+0)      (2,1,+0)          0.297655      1.000000
  (3,1,+0)      (2,1,+1)          0.332965      0.989161
  (3,1,+0)      (3,0,+0)          0.115958      0.942816
  (3,1,+0)      (3,1,-1)          0.189622      0.946273
  (3,1,+0)      (3,1,+0)          0.151382      0.978321
  (3,1,+0)      (3,1,+1)          0.189622      0.946273
  (3,1,+0)      (3,2,-2)          0.287921      0.978439
  (3,1,+0)      (3,2,-1)          0.271811      0.989161
  (3,1,+0)      (3,2,+0)          0.279816      0.992852
  (3,1,+0)      (3,2,+1)          0.271811      0.989161
  (3,1,+0)      (3,2,+2)          0.287921      0.978439
  (3,1,+1)      (1,0,+0)          0.344805      1.000000
  (3,1,+1)      (2,0,+0)          0.191838      0.978321
  (3,1,+1)      (2,1,-1)          0.332965      0.989161
  (3,1,+1)      (2,1,+0)          0.297655      1.000000
  (3,1,+1)      (2,1,+1)          0.332965      0.989161
  (3,1,+1)      (3,0,+0)          0.115958      0.942816
  (3,1,+1)      (3,1,-1)          0.189622      0.946273
  (3,1,+1)      (3,1,+0)          0.151382      0.978321
  (3,1,+1)      (3,1,+1)          0.189622      0.946273
  (3,1,+1)      (3,2,-2)          0.287921      0.978439
  (3,1,+1)      (3,2,-1)          0.271811      0.989161
  (3,1,+1)      (3,2,+0)          0.279816      0.992852
  (3,1,+1)      (3,2,+1)          0.271811      0.989161
  (3,1,+1)      (3,2,+2)          0.287921      0.978439
  (3,2,-2)      (1,0,+0)          0.351767      1.000000
  (3,2,-2)      (2,0,+0)          0.222395      0.978321
  (3,2,-2)      (2,1,-1)          0.377654      0.989161
  (3,2,-2)      (2,1,+0)          0.336900      1.000000
  (3,2,-2)      (2,1,+1)          0.377654      0.989161
  (3,2,-2)      (3,0,+0)          0.123431      0.942816
  (3,2,-2)      (3,1,-1)          0.199267      0.946273
  (3,2,-2)      (3,1,+0)          0.158620      0.978321
  (3,2,-2)      (3,1,+1)          0.199267      0.946273
  (3,2,-2)      (3,2,-2)          0.319519      0.978439
  (3,2,-2)      (3,2,-1)          0.302413      0.989161
  (3,2,-2)      (3,2,+0)          0.310915      0.992852
  (3,2,-2)      (3,2,+1)          0.302413      0.989161
  (3,2,-2)      (3,2,+2)          0.319519      0.978439
  (3,2,-1)      (1,0,+0)          0.351767      1.000000
  (3,2,-1)      (2,0,+0)          0.222395      0.978321
  (3,2,-1)      (2,1,-1)          0.377654      0.989161
  (3,2,-1)      (2,1,+0)          0.336900      1.000000
  (3,2,-1)      (2,1,+1)          0.377654      0.989161
  (3,2,-1)      (3,0,+0)          0.123431      0.942816
  (3,2,-1)      (3,1,-1)          0.199267      0.946273
  (3,2,-1)      (3,1,+0)          0.158620      0.978321
  (3,2,-1)      (3,1,+1)          0.199267      0.946273
  (3,2,-1)      (3,2,-2)          0.319519      0.978439
  (3,2,-1)      (3,2,-1)          0.302413      0.989161
  (3,2,-1)      (3,2,+0)          0.310915      0.992852
  (3,2,-1)      (3,2,+1)          0.302413      0.989161
  (3,2,-1)      (3,2,+2)          0.319519      0.978439
  (3,2,+0)      (1,0,+0)          0.351767      1.000000
  (3,2,+0)      (2,0,+0)          0.222395      0.978321
  (3,2,+0)      (2,1,-1)          0.377654      0.989161
  (3,2,+0)      (2,1,+0)          0.336900      1.000000
  (3,2,+0)      (2,1,+1)          0.377654      0.989161
  (3,2,+0)      (3,0,+0)          0.123431      0.942816
  (3,2,+0)      (3,1,-1)          0.199267      0.946273
  (3,2,+0)      (3,1,+0)          0.158620      0.978321
  (3,2,+0)      (3,1,+1)          0.199267      0.946273
  (3,2,+0)      (3,2,-2)          0.319519      0.978439
  (3,2,+0)      (3,2,-1)          0.302413      0.989161
  (3,2,+0)      (3,2,+0)          0.310915      0.992852
  (3,2,+0)      (3,2,+1)          0.302413      0.989161
  (3,2,+0)      (3,2,+2)          0.319519      0.978439
  (3,2,+1)      (1,0,+0)          0.351767      1.000000
  (3,2,+1)      (2,0,+0)          0.222395      0.978321
  (3,2,+1)      (2,1,-1)          0.377654      0.989161
  (3,2,+1)      (2,1,+0)          0.336900      1.000000
  (3,2,+1)      (2,1,+1)          0.377654      0.989161
  (3,2,+1)      (3,0,+0)          0.123431      0.942816
  (3,2,+1)      (3,1,-1)          0.199267      0.946273
  (3,2,+1)      (3,1,+0)          0.158620      0.978321
  (3,2,+1)      (3,1,+1)          0.199267      0.946273
  (3,2,+1)      (3,2,-2)          0.319519      0.978439
  (3,2,+1)      (3,2,-1)          0.302413      0.989161
  (3,2,+1)      (3,2,+0)          0.310915      0.992852
  (3,2,+1)      (3,2,+1)          0.302413      0.989161
  (3,2,+1)      (3,2,+2)          0.319519      0.978439
  (3,2,+2)      (1,0,+0)          0.351767      1.000000
  (3,2,+2)      (2,0,+0)          0.222395      0.978321
  (3,2,+2)      (2,1,-1)          0.377654      0.989161
  (3,2,+2)      (2,1,+0)          0.336900      1.000000
  (3,2,+2)      (2,1,+1)          0.377654      0.989161
  (3,2,+2)      (3,0,+0)          0.123431      0.942816
  (3,2,+2)      (3,1,-1)          0.199267      0.946273
  (3,2,+2)      (3,1,+0)          0.158620      0.978321
  (3,2,+2)      (3,1,+1)          0.199267      0.946273
  (3,2,+2)      (3,2,-2)          0.319519      0.978439
  (3,2,+2)      (3,2,-1)          0.302413      0.989161
  (3,2,+2)      (3,2,+0)          0.310915      0.992852
  (3,2,+2)      (3,2,+1)          0.302413      0.989161
  (3,2,+2)      (3,2,+2)          0.319519      0.978439

F0_Sturmian reference (p0=3.1684):
  F0(1s,1s) = p0 * 5/8 = 1.980260 Ha
  F0(1s,2s) = p0 * 17/81 = 0.664976 Ha

  J_same(1s_A, 1s_A) = 1.875289 Ha
  J_cross(1s_A, 1s_B) = 1.980260 Ha
  Ratio cross/same = 1.0560

================================================================================
3-point PES with SO(4) CG cross-center V_ee
use_sturmian=True, use_so4_vee=True, damping=0.5
================================================================================
  R=2.000: p0=3.0720, E=-4.718616 Ha, 10 iter, CONVERGED (785.7s)
